date,AAPL,MSFT,SPY,USDCAD,JPM,QQQ,SHOP
2025-02-17,194.0771,400.8081,500.2679,1.3516,182.422,373.6509,62.1521
2025-02-18,192.3556,401.9267,502.3692,1.3528,186.1765,366.0637,58.5312
2025-02-19,189.6053,411.5303,505.3409,1.3518,186.0401,365.6026,59.9312
2025-02-20,191.7739,394.7742,507.0157,1.3487,185.5924,369.2573,58.4764
2025-02-21,195.7382,393.4164,517.5113,1.3501,182.7612,360.3715,57.8309
2025-02-24,195.4052,394.6651,517.2417,1.3474,182.2385,355.4626,55.8467
2025-02-25,192.5185,396.6724,515.8343,1.344,178.2385,359.6375,53.8977
2025-02-26,189.7288,394.4507,512.1279,1.3457,176.023,361.0262,53.6823
2025-02-27,192.0171,383.5018,507.0207,1.3436,176.6435,363.086,52.722
2025-02-28,194.6532,385.6486,500.8884,1.3449,179.9672,371.9902,53.2386
2025-03-03,196.6244,396.442,496.6118,1.3464,187.1081,374.3862,53.8595
2025-03-04,194.3378,386.8513,496.4346,1.3403,185.6371,377.7192,54.3104
2025-03-05,195.2179,392.3335,498.2679,1.3377,189.4323,391.1621,54.6534
2025-03-06,195.6963,390.4085,498.6972,1.3455,190.145,390.2118,56.8283
2025-03-07,196.5351,390.1621,495.054,1.3392,189.8089,386.3009,55.3314
2025-03-10,199.6867,383.7259,499.6837,1.3279,191.0249,388.5845,55.2748
2025-03-11,200.5603,381.8067,503.5533,1.3181,191.2574,390.9381,56.8594
2025-03-12,203.0814,389.8822,502.9256,1.3182,191.6199,388.398,58.6768
2025-03-13,203.3995,393.6533,499.818,1.3184,190.5915,383.3212,56.6117
2025-03-14,204.5292,404.702,502.734,1.3178,186.9277,394.9657,56.1895
2025-03-17,206.9249,412.4677,503.855,1.3243,182.9535,396.7822,58.1169
2025-03-18,201.57,415.5098,496.7349,1.3101,184.6907,393.1438,58.8755
2025-03-19,200.4807,427.2492,496.5711,1.3122,184.0399,397.9626,59.1835
2025-03-20,198.8534,430.3996,498.0461,1.3205,182.5684,397.5372,58.8821
2025-03-21,196.6362,436.2521,493.7395,1.3145,182.6541,396.3695,58.3377
2025-03-24,195.7312,434.3347,494.8496,1.3126,184.7508,399.4055,58.7785
2025-03-25,201.0666,434.9492,487.8236,1.3086,185.2819,392.8375,58.4282
2025-03-26,198.0034,430.2479,494.5126,1.304,183.645,394.7758,58.3865
2025-03-27,201.5237,437.2108,500.8569,1.3023,186.8621,404.7314,58.5216
2025-03-28,195.4897,429.1211,499.7675,1.3098,191.0588,407.3259,57.5501
2025-03-31,194.3798,434.6429,501.7588,1.3194,192.4485,405.4763,58.3358
2025-04-01,195.0172,433.4692,489.8425,1.3177,195.1392,402.9452,62.6064
2025-04-02,197.1433,441.7441,484.3496,1.3277,198.6005,400.9367,59.847
2025-04-03,199.7362,447.2058,483.0962,1.3279,201.8121,399.7534,60.3527
2025-04-04,202.6584,460.3896,478.0859,1.3373,203.6178,397.9299,59.2269
2025-04-07,201.4572,465.9338,481.6686,1.3368,205.3947,402.8093,60.1025
2025-04-08,199.8511,454.3774,491.4576,1.3375,206.9609,393.8743,60.1935
2025-04-09,203.0075,454.0496,485.847,1.3395,203.8539,398.4259,61.3611
2025-04-10,202.3795,445.6942,481.9483,1.3566,205.9251,396.5988,63.1858
2025-04-11,197.8032,442.1543,483.2517,1.3612,202.0884,398.681,63.5119
2025-04-14,193.8374,453.0001,491.2066,1.3574,199.911,392.9796,65.3316
2025-04-15,190.6972,457.7795,485.3741,1.3627,203.6293,399.9047,61.5255
2025-04-16,192.4705,452.8205,486.7528,1.3607,206.0959,406.5205,63.9934
2025-04-17,193.0313,445.6344,495.7883,1.3581,210.4597,411.734,64.6158
2025-04-18,195.498,446.0242,487.7726,1.3631,209.7329,403.7703,66.3796
2025-04-21,194.0629,437.4984,481.6947,1.3633,206.423,408.2637,64.3785
2025-04-22,194.6846,432.9536,479.8228,1.3648,205.8004,410.5553,63.0639
2025-04-23,196.945,435.2665,477.4928,1.3649,206.1664,402.1313,63.3161
2025-04-24,195.9173,443.4647,481.54,1.3668,206.4665,402.145,63.3112
2025-04-25,197.5967,447.9394,482.8723,1.3691,209.8157,404.1915,63.7814
2025-04-28,195.3116,431.6744,474.4705,1.3586,208.828,407.2549,65.5331
2025-04-29,194.1036,433.9277,477.082,1.3622,209.9303,408.3359,62.664
2025-04-30,192.8378,434.5797,474.4936,1.3569,207.0982,410.0248,64.2115
2025-05-01,188.7544,437.6097,480.7069,1.3491,208.4763,418.0231,64.2473
2025-05-02,190.475,449.0791,477.8583,1.3488,208.5583,424.8321,63.9424
2025-05-05,188.9323,434.4114,474.9834,1.3493,206.442,409.1465,61.6132
2025-05-06,189.0409,430.4549,477.7199,1.3456,205.8327,407.6013,62.4096
2025-05-07,190.743,434.6753,481.5318,1.3501,205.374,406.8715,58.6648
2025-05-08,192.3428,423.8278,483.8581,1.3428,204.6691,397.7465,59.6363
2025-05-09,194.7138,433.9849,475.8715,1.3407,209.8163,398.3727,57.4326
2025-05-12,194.4368,436.6946,478.5984,1.3376,209.6005,404.9792,57.5295
2025-05-13,193.0234,442.7626,473.8158,1.3373,208.9582,399.4005,57.3782
2025-05-14,192.8139,438.8729,475.0964,1.3389,202.8954,401.287,59.0759
2025-05-15,187.0253,444.7407,468.4985,1.3335,200.4264,396.6498,58.8328
2025-05-16,182.2191,452.4994,470.7535,1.3374,199.7584,393.324,57.8324
2025-05-19,177.9445,454.3439,467.1212,1.3377,197.9102,401.0158,57.1202
2025-05-20,174.8126,456.2069,461.2932,1.3276,201.8078,398.3277,58.9579
2025-05-21,176.1317,458.3398,464.7475,1.3173,201.4125,400.8606,59.769
2025-05-22,173.3227,452.169,466.0332,1.3172,205.1161,391.2496,59.2137
2025-05-23,172.2035,451.2599,463.335,1.3161,205.3651,400.8588,58.8844
2025-05-26,176.291,450.3166,470.2209,1.3156,205.544,404.1396,56.5979
2025-05-27,175.2222,453.2366,468.3135,1.3155,205.3604,403.3222,57.1674
2025-05-28,177.6096,460.6457,468.6278,1.3167,205.4432,406.4811,54.6723
2025-05-29,174.687,453.0052,470.052,1.3217,210.4587,399.1735,55.719
2025-05-30,174.1022,452.2577,467.3037,1.3158,203.6978,405.4497,55.9177
2025-06-02,171.1859,463.136,469.6689,1.3097,198.0612,403.8839,59.2741
2025-06-03,170.2012,457.788,467.3279,1.304,196.6244,402.9538,57.6646
2025-06-04,172.8351,451.9255,465.5677,1.3055,196.7332,400.5194,57.5368
2025-06-05,167.5219,453.5465,472.0747,1.3121,198.7027,397.6362,60.1436
2025-06-06,168.8904,459.8328,467.3276,1.3098,200.0883,401.3663,61.956
2025-06-09,169.6723,460.0778,456.2156,1.2967,199.082,402.8421,60.8993
2025-06-10,167.9171,470.0216,463.7246,1.2879,201.9919,406.3962,61.2616
2025-06-11,163.6051,476.6295,475.7087,1.2837,204.9759,406.492,61.2861
2025-06-12,163.8748,483.2161,473.9473,1.2808,205.5758,409.3462,61.7396
2025-06-13,162.3703,487.6693,464.9336,1.2788,208.4184,407.2606,60.6828
2025-06-16,163.1071,506.002,463.6528,1.279,209.2868,419.2082,60.5685
2025-06-17,163.2284,504.5181,462.488,1.2774,207.7149,410.8102,58.1699
2025-06-18,167.9917,488.5217,461.7715,1.2828,209.8169,417.688,58.3868
2025-06-19,167.3267,501.2321,456.7918,1.2794,210.2153,425.2619,59.0641
2025-06-20,164.3027,497.7369,459.5991,1.275,210.2928,420.6997,58.749
2025-06-23,164.8904,498.7703,462.1706,1.2774,214.7029,433.039,56.3975
2025-06-24,165.601,509.3955,455.4256,1.2696,207.4111,438.7947,57.811
2025-06-25,169.7105,496.5148,458.7694,1.2716,203.3671,444.488,58.358
2025-06-26,172.321,486.7452,468.347,1.2722,200.0585,444.8055,57.3192
2025-06-27,173.4882,474.4449,469.3163,1.2714,199.1111,443.705,56.9372
2025-06-30,178.1185,468.5826,467.8974,1.2795,198.4711,442.6524,54.821
2025-07-01,174.3695,472.0427,467.3968,1.2764,194.3523,445.0547,53.4349
2025-07-02,172.4226,476.167,470.4361,1.2869,191.7398,453.3173,52.7351
2025-07-03,169.6072,478.4385,462.459,1.2858,189.4961,454.5445,54.3731
2025-07-04,168.4765,467.7912,463.3811,1.2793,196.0818,449.3178,53.5229
2025-07-07,164.3606,450.6646,461.734,1.2796,201.0965,454.2906,54.3982
2025-07-08,166.2972,451.2142,470.4276,1.2742,200.0076,459.8897,53.6852
2025-07-09,165.6902,447.9662,469.7729,1.2703,199.0596,463.9646,54.0368
2025-07-10,161.3616,451.4156,477.7726,1.2724,195.9266,468.6235,53.8647
2025-07-11,158.4683,456.6436,472.6664,1.2752,190.7612,467.137,55.0592
2025-07-14,159.4181,457.8134,475.6077,1.2721,190.5158,461.6589,54.3423
2025-07-15,161.8789,463.5416,477.2932,1.2771,187.921,456.61,52.2249
2025-07-16,167.7537,465.4039,473.3124,1.2831,187.7636,447.0618,50.4389
2025-07-17,176.611,469.5139,474.3177,1.2905,183.6228,448.5954,49.7859
2025-07-18,177.9902,464.3845,480.2349,1.2932,181.7283,448.2657,48.2487
2025-07-21,174.8822,463.2125,478.848,1.3003,182.17,445.8586,48.7604
2025-07-22,168.232,464.833,470.9136,1.2906,183.1678,428.8834,48.2097
2025-07-23,169.1016,471.0983,470.9958,1.2889,184.3024,422.0791,51.0885
2025-07-24,166.6863,468.2953,466.9102,1.2845,180.9597,428.377,48.887
2025-07-25,165.4984,472.3642,465.4752,1.2851,183.1884,424.8257,49.1529
2025-07-28,163.7329,470.5203,465.2584,1.2822,181.2002,426.9658,47.7841
2025-07-29,163.3753,469.8001,457.4855,1.2814,182.8691,419.3962,47.2114
2025-07-30,166.5672,476.1999,450.2542,1.2911,182.9059,427.387,47.3948
2025-07-31,167.0964,461.181,452.5824,1.2902,179.4454,426.7363,44.6562
2025-08-01,166.6778,451.7759,450.375,1.2924,178.7138,428.4947,44.9362
2025-08-04,163.6289,441.2202,438.9817,1.2912,179.6905,441.6003,47.0896
2025-08-05,158.7537,424.9004,442.5807,1.2916,181.2954,450.4604,46.5723
2025-08-06,157.4196,420.438,443.941,1.2917,181.001,448.8229,46.8911
2025-08-07,157.3223,425.6266,440.9272,1.294,184.9459,445.5187,48.109
2025-08-08,162.3838,423.8355,435.2753,1.3001,187.6194,443.7891,47.9287
2025-08-11,162.8214,425.3251,439.0657,1.3087,187.0109,446.8862,47.2493
2025-08-12,165.7586,432.8863,440.7532,1.3103,189.0403,446.4313,44.5777
2025-08-13,164.3269,442.2336,451.4089,1.3134,194.2243,444.2937,45.3076
2025-08-14,160.8795,441.8992,453.4637,1.3074,199.6231,452.9234,45.1953
2025-08-15,158.141,451.6242,455.3805,1.307,196.2611,452.4095,44.0669
2025-08-18,156.132,452.448,454.7797,1.3119,193.784,466.0924,44.2218
2025-08-19,162.1684,446.5443,458.6534,1.3165,197.8804,466.8054,43.592
2025-08-20,159.8275,442.4538,461.6809,1.3176,195.0178,477.8029,43.0314
2025-08-21,162.2957,432.1275,467.6215,1.3223,191.4752,480.1896,43.6987
2025-08-22,159.7148,426.1382,465.3473,1.325,190.2389,486.3689,42.2518
2025-08-25,162.4488,423.8463,463.484,1.3313,191.4247,481.9576,43.3729
2025-08-26,163.6313,429.4442,461.4257,1.3329,191.2173,476.7771,41.8725
2025-08-27,163.2272,441.4181,465.2361,1.331,189.5426,479.7933,41.1935
2025-08-28,163.1646,431.8107,472.37,1.3329,187.8199,486.1271,43.1882
2025-08-29,161.2986,434.6758,470.3679,1.3173,186.0126,486.5517,44.4205
2025-09-01,162.6502,427.5912,468.5345,1.3193,183.7873,478.5853,44.5445
2025-09-02,161.375,430.9885,470.17,1.3001,189.7223,470.2898,43.5127
2025-09-03,157.8714,430.2354,469.1791,1.2911,190.5789,461.7292,42.9522
2025-09-04,154.2952,417.7824,473.8101,1.2935,193.0116,451.2807,43.0459
2025-09-05,154.8285,424.1339,463.3068,1.296,191.7576,452.081,43.1013
2025-09-08,159.2835,420.1767,459.6388,1.29,191.3255,458.8511,43.0185
2025-09-09,159.798,416.7344,456.2034,1.2863,189.4811,458.9317,43.0004
2025-09-10,159.5127,409.7474,445.7775,1.2934,182.5132,445.6065,42.785
2025-09-11,160.3892,405.6014,441.6379,1.2909,179.056,444.6574,41.2576
2025-09-12,164.2157,408.5202,437.7508,1.3026,174.5798,443.8719,40.7393
2025-09-15,164.9217,407.4262,437.0236,1.3026,169.1422,456.1219,41.6851
2025-09-16,163.7595,409.7113,442.0405,1.3047,166.3708,447.6413,40.2737
2025-09-17,167.0778,412.2273,441.112,1.3132,169.5151,445.5245,40.0969
2025-09-18,168.4257,421.0821,436.7193,1.3139,169.469,455.5604,39.2892
2025-09-19,173.1406,418.9201,436.6234,1.3087,172.5902,458.3848,39.4123
2025-09-22,173.7722,409.1677,441.3572,1.3081,173.6437,461.902,39.0432
2025-09-23,170.003,416.2977,437.2042,1.308,175.6069,462.7517,40.4989
2025-09-24,165.8759,414.2354,433.3761,1.3008,173.4535,464.8985,41.026
2025-09-25,170.8632,421.7677,435.9484,1.2995,174.7865,469.7609,39.6949
2025-09-26,176.2242,424.5024,435.1352,1.2957,176.6309,464.9818,40.3749
2025-09-29,175.7165,423.7603,438.105,1.3005,175.2667,470.4522,39.6071
2025-09-30,174.566,426.2734,438.1985,1.3007,176.701,462.2198,39.0497
2025-10-01,179.2192,439.7292,441.4266,1.2993,178.1635,464.3547,39.3697
2025-10-02,175.7107,454.4961,437.012,1.2988,176.8551,465.5962,38.8995
2025-10-03,172.9423,455.1597,437.1121,1.2999,174.1371,462.0289,39.7814
2025-10-06,175.0055,456.4856,436.3441,1.3032,171.3112,462.0543,39.025
2025-10-07,173.8237,464.506,431.1914,1.298,171.5787,458.4766,38.4348
2025-10-08,173.8685,458.3835,424.6007,1.2926,172.4242,452.2496,37.8176
2025-10-09,173.4179,460.9867,427.661,1.2983,170.5715,450.3289,37.296
2025-10-10,174.5323,460.9573,426.3098,1.2962,170.6946,444.0234,38.334
2025-10-13,179.0151,463.4338,422.101,1.2889,172.1178,446.0421,38.95
2025-10-14,179.3697,457.4166,421.8427,1.2912,173.6677,439.5294,40.6287
2025-10-15,181.5115,445.9432,426.7488,1.2936,177.5016,443.7514,42.9462
2025-10-16,174.8767,431.3084,417.1652,1.2857,180.7371,437.091,41.8546
2025-10-17,174.7845,423.7483,411.0677,1.287,178.2667,434.0262,41.9429
2025-10-20,172.1928,420.7868,407.4179,1.2908,182.5309,430.6539,40.7243
2025-10-21,168.4754,418.9602,413.5136,1.2927,181.2379,438.2235,39.9468
2025-10-22,165.8713,432.0928,414.8269,1.296,183.9526,440.2585,39.3316
2025-10-23,164.9318,439.8903,418.1551,1.2888,184.192,439.2007,38.3059
2025-10-24,167.7086,433.2728,413.5338,1.2905,183.1937,442.2019,37.3119
2025-10-27,163.7633,435.8349,409.0489,1.289,178.6216,430.2433,37.1904
2025-10-28,163.9109,433.1487,411.0238,1.2865,178.2551,430.1526,36.0722
2025-10-29,162.5398,431.3296,411.4072,1.291,174.4259,441.4732,36.8442
2025-10-30,161.638,432.7595,413.8088,1.2987,176.8491,442.3873,36.0118
2025-10-31,164.612,437.1982,413.177,1.308,180.6664,442.9327,38.5538
2025-11-03,166.2641,434.9781,414.4708,1.3149,178.714,446.2439,38.1322
2025-11-04,170.3248,442.5344,415.2713,1.3144,179.532,451.5956,38.2142
2025-11-05,169.9107,434.6037,418.6464,1.3162,177.7716,440.0271,36.9901
2025-11-06,167.8417,434.7999,422.1715,1.3203,176.2697,430.5576,38.5808
2025-11-07,167.2242,453.0236,415.4806,1.321,178.2427,431.8853,39.674
2025-11-10,168.0126,454.7991,406.2891,1.3217,178.2089,428.0228,39.9824
2025-11-11,168.6054,465.3875,410.5012,1.3261,182.6115,435.4731,38.6502
2025-11-12,165.3734,466.2318,415.5205,1.3258,181.4426,433.8413,38.8673
2025-11-13,165.7007,470.7274,411.4251,1.3219,184.0446,423.0825,37.7912
2025-11-14,166.4394,470.4645,403.9172,1.3198,184.36,416.2564,39.1861
2025-11-17,174.0398,469.3464,404.4586,1.3232,186.4785,401.5227,39.9925
2025-11-18,179.9803,463.6572,408.365,1.3232,185.3764,400.4411,40.1019
2025-11-19,177.2791,467.0116,415.8487,1.325,185.3126,399.6006,37.6734
2025-11-20,176.4241,460.8122,418.1413,1.3286,185.0778,397.5355,36.7603
2025-11-21,171.8385,465.8809,416.7333,1.3266,182.9763,403.2502,37.4053
2025-11-24,170.0715,474.1338,413.1572,1.3307,184.7364,409.6743,38.5526
2025-11-25,171.0972,477.0803,413.3491,1.3327,186.4828,408.9102,39.6351
2025-11-26,174.8708,475.0622,412.2568,1.3262,188.0977,397.7057,38.0715
2025-11-27,172.6371,478.6791,408.2164,1.3338,192.2109,401.0363,38.3718
2025-11-28,170.6648,476.4826,416.7226,1.3312,196.1783,404.0721,39.3594
2025-12-01,164.1281,483.7817,424.3077,1.3224,195.2172,405.8387,37.7414
2025-12-02,163.705,469.775,429.2765,1.3169,196.3051,411.1589,37.7472
2025-12-03,160.6317,467.4168,425.4738,1.3116,194.66,405.0767,38.0188
2025-12-04,159.1571,452.6918,429.2606,1.3119,194.7917,415.7966,37.7462
2025-12-05,156.7007,442.0214,432.1565,1.3104,193.2244,410.7561,36.0116
2025-12-08,156.4897,451.8218,434.2202,1.3087,197.6745,414.9006,35.731
2025-12-09,151.5933,458.4514,439.7985,1.312,198.7502,405.9447,35.4512
2025-12-10,147.6432,453.3343,442.7468,1.3138,198.2131,401.1776,35.3323
2025-12-11,153.3536,442.5948,446.1782,1.3155,201.5947,409.2263,34.847
2025-12-12,149.8535,421.7563,449.176,1.3177,195.5391,407.9816,34.4732
2025-12-15,146.9475,418.2364,450.864,1.3209,190.0939,412.5791,34.4511
2025-12-16,151.8577,434.5797,442.9802,1.3098,192.2784,413.9944,34.8442
2025-12-17,159.8516,437.7556,443.5056,1.3079,192.5084,413.5744,34.5912
2025-12-18,156.5366,433.9896,441.1941,1.2966,193.2508,421.0519,34.2491
2025-12-19,155.5538,437.3709,435.7019,1.2968,189.7299,419.9039,34.3401
2025-12-22,156.5646,426.6005,443.1821,1.2968,189.7345,410.3302,32.703
2025-12-23,161.4911,424.7204,450.9999,1.3022,195.1228,406.1891,33.1045
2025-12-24,158.679,425.545,457.2878,1.3084,197.4426,409.2418,33.1156
2025-12-25,158.034,425.1078,458.6149,1.3095,197.9808,411.4892,33.1601
2025-12-26,160.3005,430.6354,464.9696,1.3069,196.8332,403.2505,33.9681
2025-12-29,161.6111,433.1608,465.1884,1.3095,195.8148,399.5944,32.3217
2025-12-30,160.5734,437.9443,466.2946,1.3067,190.0463,396.7124,30.7381
2025-12-31,160.2428,433.274,461.359,1.3068,190.7983,394.9664,30.9592
